timestamp,model,pages,input_tokens,output_tokens,input_cost_usd,output_cost_usd,total_cost_usd
2026-05-28T16:55:30,gemini-3.1-flash-lite,1,30653,1719,0.007663,0.002579,0.010242
2026-05-28T16:55:58,gemini-3.1-flash-lite,1,30489,1185,0.007622,0.001778,0.009400
2026-05-28T16:56:46,gemini-3.1-flash-lite,1,30457,920,0.007614,0.001380,0.008994
2026-05-28T17:16:10,gemini-3.1-flash-lite,49,1454750,61858,0.363687,0.092787,0.456475
2026-05-29T10:37:24,gemini-3.1-flash-lite,6,278138,4628,0.069534,0.006942,0.076477
2026-05-29T11:59:04,gemini-3.1-flash-lite,6,278881,4773,0.069720,0.007160,0.076880
2026-05-29T12:35:42,gemini-3.1-flash-lite,6,279320,5348,0.069830,0.008022,0.077852
2026-05-29T12:39:48,gemini-3.1-flash-lite,6,279320,5348,0.069830,0.008022,0.077852
2026-05-29T12:57:20,gemini-3.1-flash-lite,6,278257,4779,0.069564,0.007169,0.076733
2026-05-29T13:05:15,gemini-3.1-flash-lite,6,278865,4779,0.069716,0.007169,0.076885
2026-05-29T13:17:22,gemini-3.1-flash-lite,6,278864,4779,0.069716,0.007169,0.076884
2026-05-29T14:08:16,gemini-3.1-flash-lite,7,326031,6682,0.081508,0.010023,0.091531
2026-05-29T14:22:11,gemini-3.1-flash-lite,49,2284084,40346,0.571021,0.060519,0.631540
2026-05-29T15:21:57,gemini-3.1-flash-lite,6,279888,5993,0.069972,0.008990,0.078962
2026-05-29T15:32:43,gemini-3.1-flash-lite,52,2441064,36155,0.610266,0.054233,0.664498
2026-05-29T17:48:49,gemini-3.1-flash-lite,52,2430572,38933,0.607643,0.058400,0.666043
2026-05-29T17:57:38,gemini-3.1-flash-lite,52,2441064,36155,0.610266,0.054233,0.664498
2026-05-29T19:11:09,gemini-3.1-flash-lite,52,2446099,34065,0.611525,0.051097,0.662622
