rule	page	rid	category	before	after	context	id
lone_o	Appendix_1/1_source_pages/page_010	doc_1.src_location_recipient.0	src_location_recipient	0.	O.	7 Sheridan St. Portland, O.	Appendix_1/1_source_pages/page_010|doc_1.src_location_recipient.0|27|lone_o
lone_o	Appendix_1/1_source_pages/page_012	doc_1.src_content.0	src_content	0	O	": ""There's the Angelus."" O, how sweet that mus"	Appendix_1/1_source_pages/page_012|doc_1.src_content.0|756|lone_o
lone_o	Appendix_1/1_source_pages/page_012	doc_1.src_content.0	src_content	0	O	ess the bubble broke and O, what peace! What s	Appendix_1/1_source_pages/page_012|doc_1.src_content.0|1406|lone_o
lone_o	Appendix_1/1_source_pages/page_015	doc_1.src_content.0	src_content	0	O	 all be withem and then: O then ! ! ! Now with	Appendix_1/1_source_pages/page_015|doc_1.src_content.0|810|lone_o
lone_o	Appendix_1/1_source_pages/page_015	doc_1.src_location_recipient.0	src_location_recipient	0.	O.	Portland, O.	Appendix_1/1_source_pages/page_015|doc_1.src_location_recipient.0|10|lone_o
lone_o	Appendix_1/1_source_pages/page_021	doc_1.src_content.0	src_content	0	O	" and to be with Christ."" O well it will not be"	Appendix_1/1_source_pages/page_021|doc_1.src_content.0|2213|lone_o
lone_o	Appendix_1/1_source_pages/page_028	doc_1.src_content.0	src_content	0	O	 so many diffi- culties! O the Faith! How litt	Appendix_1/1_source_pages/page_028|doc_1.src_content.0|226|lone_o
lone_o	Appendix_1/1_source_pages/page_032	doc_1.src_content.0	src_content	0	O	 and at least resignedly O! how like nothing w	Appendix_1/1_source_pages/page_032|doc_1.src_content.0|593|lone_o
lone_o	Appendix_2/1_source_pages/page_012	doc_1.src_content.0	src_content	0	O	 ... Alarm went off at 5 O'cl. Angelus and Lit	Appendix_2/1_source_pages/page_012|doc_1.src_content.0|114|lone_o
lone_o	Appendix_2/1_source_pages/page_025	doc_2.src_other.0	src_other	0	O	O all ye works of the	Appendix_2/1_source_pages/page_025|doc_2.src_other.0|0|lone_o
lone_o	Appendix_2/1_source_pages/page_061	doc_1.src_greeting.0	src_greeting	0	O	O all ye works of the	Appendix_2/1_source_pages/page_061|doc_1.src_greeting.0|0|lone_o
lone_o	Appendix_2/1_source_pages/page_067	doc_1.src_recipient.0	src_recipient	0	O	Mr. and Mrs. Maurice O'Conne11:	Appendix_2/1_source_pages/page_067|doc_1.src_recipient.0|21|lone_o
lone_o	Appendix_2/1_source_pages/page_067	doc_1.src_greeting.0	src_greeting	0	O	s - Mr. and Mrs. Maurice O'Conne11:	Appendix_2/1_source_pages/page_067|doc_1.src_greeting.0|39|lone_o
lone_o	Appendix_3/1_source_pages/page_023	doc_1.src_content.0	src_content	0	O	t No server for 7 O'cl Mass (F. McCreed	Appendix_3/1_source_pages/page_023|doc_1.src_content.0|18|lone_o
lone_o	Appendix_3/1_source_pages/page_028	doc_1.src_content.7	src_content	0.	O.	29 T. Fagan W. Hayes 227 O. Fagan E. Fitzpatric	Appendix_3/1_source_pages/page_028|doc_1.src_content.7|450|lone_o
lone_o	Appendix_3/1_source_pages/page_033	doc_1.src_content.2	src_content	0	O	O First Holy Communio	Appendix_3/1_source_pages/page_033|doc_1.src_content.2|0|lone_o
lone_o	Appendix_3/1_source_pages/page_035	doc_1.src_content.7	src_content	0	O	. Fr. Meizer from Carey, O .- - the Lourdes of	Appendix_3/1_source_pages/page_035|doc_1.src_content.7|28|lone_o
lone_o	Appendix_3/1_source_pages/page_038	doc_1.src_content.2	src_content	0.	O.	dy & Ahearn 6 P. Solanus O. Fagan 6 6% P. Berch	Appendix_3/1_source_pages/page_038|doc_1.src_content.2|231|lone_o
lone_o	Volume_1/1_source_pages/page_011	doc_1.src_content.0	src_content	0	O	"of un- reasonable fear. ""O God come to my assi"	Volume_1/1_source_pages/page_011|doc_1.src_content.0|244|lone_o
